"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"faSelfAlcIntentionRAA_planning";"faSelfAlcIntentionRAA_willGo";"faSelfAlcIntentionRAA_want";"faSelfAlcAttGeneral_good";"faSelfAlcAttGeneral_pleasant";"faSelfAlcAttGeneral_smart";"faSelfAlcAttGeneral_healthy";"faSelfAlcAttGeneral_exciting";"faSelfAlcNormGeneral_in1";"faSelfAlcNormGeneral_in2";"faSelfAlcNormGeneral_dn1";"faSelfAlcNormGeneral_dn2";"faSelfAlcPBCgeneral_ifwanted";"faSelfAlcPBCgeneral_easy";"faSelfAlcPBCgeneral_control";"faSelfAlcPBCgeneral_externalFactors";"faSelfAlcPBCgeneral_notOnlyMe";"faSelfAlcOpenWhyNot";"faSelfAlcOpenWhy";"faSelfAlcAttExpect1_anonimity";"faSelfAlcAttExpect1_parents";"faSelfAlcAttExpect1_ruinsEvening";"faSelfAlcAttExpect2_security";"faSelfAlcAttExpect2_police";"faSelfAlcAttExpect2_solvesItself";"faSelfAlcAttExpect2_accessToParty";"faSelfAlcAttExpect2_approachSecurity";"faSelfAlcNormInjunct_partner";"faSelfAlcNormInjunct_bestFriends";"faSelfAlcNormInjunct_otherFriends";"faSelfAlcNormInjunct_partyPeople";"faSelfAlcNormInjunct_parents";"faSelfAlcNormInjunct_siblings";"faSelfAlcNormMTC_partner";"faSelfAlcNormMTC_bestFriends";"faSelfAlcNormMTC_otherFriends";"faSelfAlcNormMTC_partyPeople";"faSelfAlcNormMTC_parents";"faSelfAlcNormMTC_siblings";"faSelfAlcNormDescr_partner";"faSelfAlcNormDescr_bestFriends";"faSelfAlcNormDescr_otherFriends";"faSelfAlcNormDescr_partyPeople";"faSelfAlcNormDescr_parents";"faSelfAlcNormDescr_siblings";"faSelfAlcContrBeliefs_knowsLocation";"faSelfAlcContrBeliefs_faCanHelp";"faSelfAlcnormProduct_bestFriends";"faSelfAlcnormProduct_otherFriends";"faSelfAlcnormProduct_parents";"faSelfAlcnormProduct_partner";"faSelfAlcnormProduct_partyPeople";"faSelfAlcnormProduct_siblings";"faSelfAlc_intention";"faSelfAlc_attitude";"faSelfAlc_perceivedNorm";"faSelfAlc_pbc"
"Male";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";25;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe VWO";NA;1;1;1;5;4;6;6;3;5;5;5;3;6;6;6;6;6;NA;NA;7;1;5;1;1;5;5;5;7;7;7;7;7;7;-1;-1;-1;-1;-1;-1;5;5;5;5;5;5;3;6;-7;-7;-7;-7;-7;-7;1;4.8;4.5;6
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";13;"Ja, ik doe MBO (ROC)";NA;1;1;2;5;1;4;5;6;5;5;5;5;5;2;5;4;5;NA;NA;7;1;5;3;3;3;3;3;3;3;4;4;4;4;1;1;-1;-2;-2;-2;2;3;3;3;1;1;4;5;3;-4;-8;3;-8;-8;1.33333333333333;4.2;5;4.2
"Male";22;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;6;6;6;7;1;7;7;4;6;6;6;6;7;4;5;3;6;"Ze schamen zich of zijn bang dat ze van het feest afgegooid worden";"Gezondheid en veiligheid gaan boven alles";5;4;5;3;1;3;4;3;NA;7;7;7;7;7;NA;3;3;3;3;3;NA;7;7;7;7;7;5;7;21;21;21;NA;21;21;6;5.2;6;5
"Female";NA;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ik wil deze vraag niet beantwoorden";"VMBO (vroeger MAVO)";2;2;2;5;4;5;5;4;5;5;1;4;5;5;4;6;3;"Omdat het zo normaal gevonden wordt dat je dan ergens tegenaan loopt, even weg valt, op de grond ligt. Door t beantwoorden van de vragen merk ik dat er een groot verschil is voor mij of klachten alcohol of drugs gerelateerd zijn... Het antwoord: het lijkt minder ernstig dan als er andere middelen bij zijn genomen";"Mensen die niet veel of niet drinken zouden eerder iemand die met te veel alcohol op naar de ehbo brengen omdat ze het verschil beter kunnen beoordelen met wat ze bij iemand zien en gezond gedrag";3;4;3;1;1;4;4;5;5;5;4;4;5;4;-1;-2;-3;-3;0;0;1;2;4;4;4;4;2;5;-10;-12;0;-5;-12;0;2;4.6;3.75;4.6
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";2;2;3;6;1;3;6;3;6;6;6;4;7;5;6;5;5;NA;NA;5;5;7;1;1;6;7;5;3;5;5;1;3;3;0;0;0;0;0;0;3;4;4;5;4;4;6;6;0;0;0;0;0;0;2.33333333333333;3.8;5.5;5.6
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";4;"Ja, ik doe VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";3;"Ja, ik doe VWO";NA;4;3;4;5;3;5;5;5;5;5;5;4;7;2;7;2;6;NA;NA;7;1;6;4;2;6;4;5;NA;5;5;4;5;5;NA;2;1;1;0;0;NA;3;3;4;1;4;5;4;10;5;0;NA;4;0;3.66666666666667;4.6;4.75;4.8
"Male";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;5;3;4;6;6;7;3;6;6;5;4;7;6;7;6;6;NA;NA;4;1;5;5;1;6;1;6;7;6;4;4;7;6;2;3;1;-3;1;1;7;5;4;4;7;6;7;3;18;4;7;14;-12;6;4.33333333333333;5.2;5.25;6.4
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";18;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;3;2;1;4;2;5;6;6;3;3;2;2;7;3;7;4;5;NA;NA;6;1;5;1;1;6;7;7;7;4;4;4;5;5;-3;1;-1;-3;-1;2;4;4;3;3;3;4;4;2;4;-4;-5;-21;-12;10;2;4.6;2.5;5.2
"Female";29;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;7;6;3;7;5;7;7;5;6;6;6;6;7;3;6;2;6;"Voelt alsof het hun eigen schuld is en dat ze het zelf wel op kunnen lossen met zitten, water drinken of eten. Evt taxi nemen naar huis als oplossing. Mogelijk bang om naar ziekenhuis te moeten. ";"Denken dat ehbo middel heeft wat hen beter kan laten voelen. ";6;1;5;2;1;5;2;6;6;5;5;4;7;7;2;1;0;-1;0;-1;4;4;4;3;6;6;7;6;5;0;0;12;-4;-7;5.33333333333333;6.2;6;4.8
"Male";50;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";7;7;7;7;2;7;7;4;7;7;5;4;7;6;6;3;7;"schaamte";NA;4;1;7;1;1;3;4;6;7;7;6;4;NA;NA;3;3;2;-3;NA;NA;7;7;6;4;NA;NA;4;7;21;12;NA;21;-12;NA;7;5.4;5.75;5.8
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";12;"Ja, ik doe HBO (hogeschool)";NA;1;1;7;7;1;1;4;7;4;4;4;4;7;1;4;6;3;"Nog onder de 18";NA;1;7;6;7;7;7;2;1;4;4;4;4;4;4;0;0;0;0;0;0;5;4;5;4;4;6;6;3;0;0;0;0;0;0;3;4;4;4.2
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";21;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;2;2;2;6;2;6;5;2;3;3;3;3;3;2;2;5;2;"Omdat ze denken dat de EHBO er niet heel veel aan kan doen en je maar beter thuis kunt gaan slapen";"Omdat anderen zeggen dat ze er heen moeten gaan of het dermate ernstig is dat ze niet echt meer kunnen functioneren";3;1;2;6;1;6;1;2;NA;3;3;3;7;4;NA;2;2;-3;2;0;NA;2;2;2;6;2;6;2;6;6;14;NA;-9;0;2;4.2;3;2.8
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";0;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";35;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;5;6;7;5;7;7;7;3;5;5;5;7;5;5;6;2;NA;NA;7;1;7;7;5;6;6;7;7;7;7;7;7;7;3;3;3;3;3;3;7;5;5;4;6;7;2;7;21;21;21;21;21;21;5.33333333333333;6.6;4.5;5
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";48;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";2;2;2;4;2;5;7;4;6;6;3;3;3;3;5;5;3;NA;NA;7;1;3;2;1;6;4;7;2;3;2;2;1;2;3;3;2;1;-2;2;5;3;4;2;5;3;4;5;9;4;-2;6;2;4;2;4.4;4.5;3.8
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";64;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";6;6;6;7;6;7;7;6;7;7;7;3;7;5;5;4;4;"Misschien weten zij niet over de gevaren van alcohol vergiftiging of vinden hun het niet cool.";"Mensen die meer weten over de gevaren en dat er zijn geen negatieve consequenties om wel te gaan zouden makkelijker gaan dan mensen die dat niet weten.";5;2;1;2;1;5;7;7;7;7;5;4;7;6;-2;-2;-3;-3;-3;-3;3;7;2;1;7;5;4;7;-14;-15;-21;-14;-12;-18;6;6.6;6;5
"Female";50;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;4;6;7;2;7;6;4;4;5;5;2;6;5;3;5;6;"zelfde redenen. Uncool, 'can't hold your liquor'";"Om beter de rest van het feestje te kunnen doorstaan";6;1;3;2;2;2;6;1;6;6;4;3;4;4;2;2;0;-3;-3;-2;6;5;4;3;7;4;5;7;12;0;-12;12;-9;-8;5;5.2;4;5
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";3;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";38;"Ja, ik doe HBO (hogeschool)";NA;2;2;2;6;2;6;6;1;3;3;3;3;4;4;4;3;6;"bij klachten door alcohol kan je door de alcohol al niet meer goed nadenken en dit belemmerd je in het maken van de juiste keuzes.";"Niet zoveel alcohol gedronken of gedwongen door andere mensen";4;2;6;6;3;6;6;3;3;3;3;6;3;3;1;1;0;-3;1;1;5;3;3;4;5;5;6;6;3;0;3;3;-18;3;2;4.2;3;4.2
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe MBO (ROC)";NA;7;7;7;7;6;7;7;6;7;7;7;7;7;7;7;2;6;NA;NA;7;1;1;2;1;3;6;6;7;7;7;4;7;7;-3;-3;-3;-3;-3;-3;7;4;4;2;6;6;7;5;-21;-21;-21;-21;-12;-21;7;6.6;7;5.8
"Male";36;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";30;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;5;5;6;1;7;7;3;5;5;5;5;5;4;4;4;5;"bekendheid van de symptomen, de meeste zijn vervelend maar niet echt gevaarlijk
eigenwijsheid en overmoed die bij alcohol horen";"minder ervaring met alcoholgebruik, vermoeden van roofie's, ernstiger klachten";6;1;6;3;1;4;5;5;5;5;5;5;5;NA;-3;-3;-3;-3;-3;NA;5;5;5;5;5;NA;3;5;-15;-15;-15;-15;-15;NA;5;4.8;5;4.4
"Male";58;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";44;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";6;5;3;6;2;6;6;3;6;6;6;3;5;2;4;2;6;"schaamte / ernst niet kunnen inschatten";"angst";5;1;7;2;1;4;5;5;NA;2;2;3;2;2;NA;2;0;-1;3;2;NA;3;3;3;4;3;4;5;4;0;6;NA;-3;4;4.66666666666667;4.6;5.25;3.8
"Other (e.g. genderqueer, nonbinary)";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";60;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;6;4;7;4;7;7;5;7;7;7;7;6;7;5;5;5;"Ik hoop niet dat ik ooit zoveel drink dat ik naar de ehbo moet. Gezien ik een ervaren drinker ben zou het lang duren voordat ik ehbo nodig heb, eigenlijk alleen bij iets bijkomends, biijvoorbeeld bij onderkoeling. En bijna alcohol vergiftiging kan ik zelf ook wel uitzitten...";NA;5;1;1;1;1;6;6;7;6;6;6;6;6;6;-3;-3;-3;-3;-3;-3;4;4;4;4;4;4;6;6;-18;-18;-18;-18;-18;-18;4.66666666666667;6;7;5.6
