"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"epGeneralBeliefs_loudnessPreference";"epGeneralBeliefs_loudnessGenre";"epGeneralBeliefs_loudnessTooMuch";"epGeneralBeliefs_priceFoam";"epGeneralBeliefs_priceSilicon";"epGeneralBeliefs_priceCustom";"epw_Intention_plan";"epw_Intention_will";"epw_Intention_want";"epw_AttDirect_good";"epw_AttDirect_pleas";"epw_AttDirect_smart";"epw_AttDirect_healt";"epw_AttDirect_excit";"epw_NrmDirect_in1";"epw_NrmDirect_in2";"epw_NrmDirect_dn1";"epw_NrmDirect_dn2";"epw_PBCDirect_ifwanted";"epw_PBCDirect_easy";"epw_PBCDirect_control";"epw_PBCDirect_externalFactors";"epw_PBCDirect_notOnlyMe";"epw_AttExpect_hearingDamage";"epw_AttExpect_highTone";"epw_AttExpect_musicVolume";"epw_AttExpect_musicFidelity";"epw_AttExpect_loudConversation";"epw_AttExpect_musicFocus";"epw_AttExpect_musicEnjoy";"epw_AttValue_losing";"epw_AttValue_hearingDamage";"epw_AttValue_highTone";"epw_AttValue_musicVolume";"epw_AttValue_musicFidelity";"epw_AttValue_loudConversation";"epw_AttValue_musicFocus";"epw_AttValue_highTmusicEnjoyone";"epw_AttValue_comfortableFit";"epw_AttValue_priceQuality";"epw_attProduct_hearingDamage";"epw_attProduct_highTone";"epw_attProduct_loudConversation";"epw_attProduct_musicFidelity";"epw_attProduct_musicFocus";"epw_attProduct_musicVolume";"epw_NrmInjunct_partner";"epw_NrmInjunct_bestFriends";"epw_NrmInjunct_otherFriends";"epw_NrmInjunct_partyPeople";"epw_NrmInjunct_parents";"epw_NrmInjunct_siblings";"epw_NrmMTC_partner";"epw_NrmMTC_bestFriends";"epw_NrmMTC_otherFriends";"epw_NrmMTC_partyPeople";"epw_NrmMTC_parents";"epw_NrmMTC_siblings";"epw_nrmProduct_bestFriends";"epw_nrmProduct_otherFriends";"epw_nrmProduct_parents";"epw_nrmProduct_partner";"epw_nrmProduct_partyPeople";"epw_nrmProduct_siblings";"epw_PBCBeliefs_recognize";"epw_PBCBeliefs_remember";"epw_PBCBeliefs_fit";"epw_PBCBeliefs_fallOut";"epw_PBCBeliefs_intoxicated";"epw_Habit_automatic";"epw_Habit_withoutThinking";"epw_Habit_beforeRealising";"epw_Habit_withoutRemembering";"epw_Behavior_houseparty";"epw_Behavior_cafe";"epw_Behavior_disco";"epw_Behavior_band";"epw_Behavior_smallPartyInside";"epw_Behavior_bigPartyInside";"epw_Behavior_smallPartyOutside";"epw_Behavior_bigPartyOutside";"epPossession";"epw_behavior";"epw_intention";"epw_attitude";"epw_perceivedNorm";"epw_pbc";"epw_habit"
"Female";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe VMBO (vroeger MAVO)";NA;6;7;5;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;7;1;1;7;7;7;4;4;4;5;3;7;5;4;3;4;28;3;5;49;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe VMBO (vroeger MAVO)";NA;7;4;5;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;16;16;16;16;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";57;"Ik wil deze vraag niet beantwoorden";NA;"Ik wil deze vraag niet beantwoorden";"HAVO";5;1;5;6;6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;5;4;1;7;7;6;5;4;4;4;6;4;4;7;7;5;16;6;16;28;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";12;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;6;6;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;5;4;5;3;5;5;2;2;5;2;2;5;5;7;6;4;10;10;8;15;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;5;5;3;5;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;3;1;4;5;2;1;1;3;2;3;7;7;7;7;2;2;3;6;28;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA
"Female";14;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;3;4;4;3;5;7;6;5;5;6;5;6;7;4;5;6;4;5;6;6;5;5;6;3;2;4;2;3;5;5;4;3;3;5;4;4;4;4;4;4;9;6;12;8;20;20;6;6;5;4;7;7;4;4;4;4;4;4;24;20;28;24;16;28;3;4;3;6;2;3;3;5;3;1;NA;NA;5;NA;5;NA;NA;1;3.66666666666667;5.33333333333333;5.6;5;5.6;3.5
"Female";15;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";9;"Ja, ik doe HAVO";NA;6;2;2;1;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;6;1;2;1;4;3;3;2;1;4;6;6;5;4;6;9;4;6;12;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA
"Female";12;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;5;7;4;2;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;4;3;3;4;3;2;1;1;4;6;2;4;4;7;4;3;2;6;18;16;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;6;7;2;1;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;7;7;1;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;1;1;1;1;7;5;6;1;1;4;7;7;4;3;25;30;4;1;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";13;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;5;5;6;4;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;4;4;1;1;4;1;1;1;4;1;1;6;5;7;7;2;3;1;4;6;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";NA;"Ik wil deze vraag niet beantwoorden";NA;"Ja, ik doe VMBO (vroeger MAVO)";NA;7;6;1;3;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;4;3;2;1;5;4;4;4;7;6;4;8;4;16;16;16;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";NA;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Ik wil deze vraag niet beantwoorden";"Ik wil deze vraag niet beantwoorden";4;6;6;3;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;4;4;2;5;5;4;1;1;3;3;2;2;6;7;7;1;1;4;12;10;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";NA;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;6;5;4;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;5;3;4;4;2;1;2;5;2;2;5;6;6;7;2;4;6;10;20;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";12;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe VMBO (vroeger MAVO)";NA;3;4;5;2;4;7;7;7;7;7;3;7;7;5;7;7;7;7;7;6;2;7;4;3;2;6;3;2;4;3;3;1;1;3;1;1;4;7;7;7;3;2;2;3;16;18;5;5;5;5;6;6;6;6;6;5;7;6;30;30;42;30;25;36;6;7;5;3;4;7;5;3;4;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;7;5.8;7;5.2;4.75
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;2;6;1;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;4;5;3;4;3;1;1;1;4;1;1;5;6;6;6;2;4;3;5;20;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;1;1;NA;NA;NA;NA;NA
"Male";19;"Ik wil deze vraag niet beantwoorden";NA;"Ja, ik doe HBO (hogeschool)";NA;5;6;5;2;5;7;7;7;7;7;6;7;7;3;3;5;4;6;7;6;7;3;6;3;2;4;2;1;6;7;1;1;1;7;1;1;7;7;7;7;3;2;1;2;42;28;NA;6;6;5;7;7;NA;4;3;2;5;1;24;18;35;NA;10;7;7;5;5;1;4;7;7;7;7;1;4;6;NA;7;7;7;7;1;5.57142857142857;7;6;4.5;5.8;7
"Female";23;"Ik wil deze vraag niet beantwoorden";NA;"Ja, ik doe HBO (hogeschool)";NA;5;5;4;2;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;4;5;1;2;3;4;2;3;3;2;3;5;6;6;6;6;6;3;10;10;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Ja, ik doe HBO (hogeschool)";NA;4;1;3;2;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;2;4;5;4;1;1;7;3;2;1;4;5;7;6;3;21;4;4;20;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";19;"Ik wil deze vraag niet beantwoorden";NA;"Ja, ik doe MBO (ROC)";NA;5;6;4;3;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;4;3;4;3;3;3;3;2;2;4;6;6;6;7;6;6;12;8;24;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";32;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";2;1;7;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;4;3;5;4;5;1;1;1;7;2;3;5;7;7;7;3;2;15;6;20;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;NA;7;NA;7;NA;7;1;7;NA;NA;NA;NA;NA
"Male";19;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;5;6;3;1;2;2;7;6;6;7;4;7;7;1;5;7;5;4;7;7;6;5;7;3;2;3;5;3;3;2;2;1;1;3;3;4;6;6;6;6;3;2;12;15;18;9;NA;7;7;6;7;6;NA;1;1;1;1;1;7;7;7;NA;6;6;4;4;3;3;4;4;4;4;4;1;1;NA;1;2;2;NA;2;1;1.5;6.33333333333333;5.2;5.25;6.4;4
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;6;5;1;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;6;1;2;2;2;1;2;3;2;2;7;7;7;7;1;2;2;12;14;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;5;NA;NA;NA;5;NA;1;3;NA;NA;NA;NA;NA
