"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"siba_CIBERlite_intention";"siba_CIBERlite_attInstrumental";"siba_CIBERlite_attExperiential";"siba_CIBERlite_pnInjunctive";"siba_CIBERlite_pnDescriptive";"siba_CIBERlite_pbcCapacity";"siba_CIBERlite_pbcControl";"siba_AttExpect_takenSeriously";"siba_AttExpect_rattlesPerson";"siba_AttExpect_angryReaction";"siba_AttExpect_nosy";"siba_AttExpect_atmosphere";"siba_AttExpect_ruinFunnySituation";"siba_AttExpect_prude";"siba_AttExpect_respectFriend";"siba_AttExpect_respectOther";"siba_AttExpect_responseEfficacy";"siba_AttExpect_positiveReaction";"siba_AttExpect_lastingChange";"siba_AttValue_takenSeriously";"siba_AttValue_rattlesPerson";"siba_AttValue_angryReaction";"siba_AttValue_nosy";"siba_AttValue_atmosphere";"siba_AttValue_ruinFunnySituation";"siba_AttValue_prude";"siba_AttValue_respectFriend";"siba_AttValue_respectOther";"siba_AttValue_responseEfficacy";"siba_AttValue_positiveReaction";"siba_AttValue_lastingChange";"siba_NrmInjunct_partner";"siba_NrmInjunct_bestFriends";"siba_NrmInjunct_otherFriends";"siba_NrmInjunct_partyPeople";"siba_NrmInjunct_parents";"siba_NrmInjunct_siblings";"siba_NrmMTC_partner";"siba_NrmMTC_bestFriends";"siba_NrmMTC_otherFriends";"siba_NrmMTC_partyPeople";"siba_NrmMTC_parents";"siba_NrmMTC_siblings";"siba_NrmDescr_partner";"siba_NrmDescr_bestFriends";"siba_NrmDescr_otherFriends";"siba_NrmDescr_partyPeople";"siba_NrmDescr_parents";"siba_NrmDescr_siblings";"siba_PBCBeliefs_knowWhatToSay";"siba_PBCBeliefs_dealWithAnger";"siba_PBCBeliefs_recognize";"siba_MoralNorm_guilt";"siba_MoralNorm_responsibility";"siba_MoralNorm_moralDuty";"siba_MoralNorm_protectFromSelf";"siba_attProduct_angryReaction";"siba_attProduct_atmosphere";"siba_attProduct_lastingChange";"siba_attProduct_nosy";"siba_attProduct_positiveReaction";"siba_attProduct_prude";"siba_attProduct_rattlesPerson";"siba_attProduct_respectFriend";"siba_attProduct_respectOther";"siba_attProduct_responseEfficacy";"siba_attProduct_ruinFunnySituation";"siba_attProduct_takenSeriously";"siba_nrmProduct_bestFriends";"siba_nrmProduct_otherFriends";"siba_nrmProduct_parents";"siba_nrmProduct_partner";"siba_nrmProduct_partyPeople";"siba_nrmProduct_siblings";"siba_intention";"siba_attitude";"siba_perceivedNorm";"siba_pbc"
"Female";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"HAVO";5;5;3;5;4;5;5;5;4;2;5;4;2;1;6;7;7;6;3;-1;-2;-3;0;-3;0;0;-1;-1;2;3;2;7;7;7;6;7;7;7;6;4;1;5;6;5;6;6;5;7;6;7;3;6;3;6;6;6;-6;-12;6;0;18;0;-8;-6;-7;14;0;-5;42;28;35;49;6;42;5;4;4.5;5
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;4;2;5;2;4;5;7;6;2;1;3;1;1;5;7;7;5;7;-3;1;1;2;2;3;2;0;-3;3;3;3;7;7;7;7;7;NA;6;5;3;1;4;NA;7;4;3;2;2;NA;6;6;6;7;7;7;7;2;6;21;2;15;2;6;0;-21;21;3;-21;35;21;28;42;7;NA;5;3;3.5;4.5
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;3;1;3;2;2;4;4;5;3;1;2;1;2;5;5;4;4;5;-3;2;1;-3;-1;1;-1;-1;-2;2;3;3;6;6;5;4;6;5;6;6;4;4;6;4;6;7;3;2;5;3;3;2;2;7;5;6;4;3;-2;15;-3;12;-2;10;-5;-10;8;1;-12;36;20;36;36;16;20;4;2;2.5;3
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";0;"Ja, ik doe VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"VWO";5;4;2;5;3;5;4;6;5;2;2;5;3;3;5;6;6;5;6;-3;-1;-2;-1;-1;0;0;-1;-1;2;3;1;7;7;6;5;7;7;7;7;5;2;4;6;7;7;5;2;2;3;6;3;4;5;7;6;6;-4;-5;6;-2;15;0;-5;-5;-6;12;0;-18;49;30;28;49;10;42;5;3;4;4.5
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Nee, ik volg op dit moment geen studie";"VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";NA;"Ik wil deze vraag niet beantwoorden";NA;"Ik wil deze vraag niet beantwoorden";"Ik wil deze vraag niet beantwoorden";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";48;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;5;2;5;3;5;5;6;4;4;6;3;2;1;5;7;6;6;3;-2;-1;-3;-1;-2;0;1;3;-2;3;3;3;6;5;3;5;7;6;6;6;3;1;5;3;7;5;3;2;6;6;7;7;3;5;7;6;4;-12;-6;9;-6;18;1;-4;15;-14;18;0;-12;30;9;35;36;5;18;4;3.5;4;5
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";0;"Ja, ik doe HBO (hogeschool)";NA;3;4;3;4;4;5;5;5;5;4;4;3;5;1;3;5;5;5;4;-1;-1;-1;1;1;0;0;0;0;0;0;0;5;3;5;5;6;6;6;6;4;3;4;3;4;4;4;4;4;4;4;4;4;5;5;5;5;-4;3;0;4;0;0;-5;0;0;0;0;-5;18;20;24;30;15;18;3;3.5;4;5
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe VMBO (vroeger MAVO)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HAVO";NA;4;4;4;4;2;4;4;4;4;5;4;3;1;3;5;6;4;4;3;1;0;0;0;-1;2;0;-1;-1;2;2;2;NA;5;5;5;7;6;NA;6;5;1;7;6;NA;6;5;3;7;5;6;6;4;6;6;5;6;0;-3;6;0;8;0;0;-5;-6;8;2;4;30;25;49;NA;5;36;4;4;3;4
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";13;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe HBO (hogeschool)";NA;3;3;1;3;2;5;4;5;3;2;6;2;7;1;7;7;5;5;2;0;0;-1;0;-2;0;0;0;0;0;2;0;NA;5;2;6;7;7;NA;6;5;1;4;4;NA;4;2;2;6;4;7;5;6;1;1;1;5;-2;-4;0;0;10;0;0;0;0;0;0;0;30;10;28;NA;6;28;3;2;2.5;4.5
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";7;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";35;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;5;2;5;5;5;5;5;5;3;7;5;1;3;4;7;6;5;6;-3;-3;-3;3;-3;1;1;1;1;3;3;0;7;7;6;5;7;7;7;7;6;3;7;7;7;7;6;4;4;6;1;1;2;7;6;7;7;-9;-15;0;21;15;3;-15;4;7;18;1;-15;49;36;49;49;15;49;5;3.5;5;5
"Male";41;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;5;3;5;3;5;5;4;7;7;1;4;4;4;7;7;7;4;4;-3;3;0;-3;0;0;0;-3;-3;3;3;0;7;7;7;4;7;7;7;7;4;1;7;7;7;7;4;4;4;4;7;7;5;1;7;7;7;0;0;0;-3;12;0;21;-21;-21;21;0;-12;49;28;49;49;4;49;5;4;4;5
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Nee, ik volg op dit moment geen studie";"VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";0;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";60;"Ja, ik doe MBO (ROC)";NA;4;4;2;3;1;5;5;6;6;5;5;3;2;2;6;7;6;6;6;2;-1;-2;-3;0;0;0;0;0;0;0;0;6;6;6;6;7;6;6;6;6;6;7;6;4;4;4;2;6;7;7;7;5;6;5;6;6;-10;0;0;-15;0;0;-6;0;0;0;0;12;36;36;49;36;36;36;4;3;2;5
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";48;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;5;1;2;2;3;4;3;2;2;4;3;5;5;4;5;4;2;5;-2;1;0;1;0;1;2;1;1;3;3;3;NA;5;6;6;7;7;NA;3;3;1;1;1;NA;6;4;4;6;7;2;6;2;7;5;5;6;0;0;15;4;6;10;2;4;5;12;5;-6;15;18;7;NA;6;7;5;3;2;3.5
"Female";33;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Other (e.g. genderqueer, nonbinary)";22;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";37;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;5;1;3;2;3;3;4;6;5;3;1;1;3;5;5;5;4;3;-2;-2;-2;-2;-2;-3;-2;0;0;3;3;3;7;6;5;2;7;NA;4;4;3;1;4;NA;5;4;3;1;3;NA;4;1;5;3;6;6;4;-10;-2;9;-6;12;-6;-12;0;0;15;-3;-8;24;15;28;28;2;NA;4;3;2.5;3
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;4;2;3;2;3;4;5;6;3;5;3;5;2;6;6;6;3;5;-2;1;-1;0;-1;-1;0;-1;-1;2;3;2;NA;7;6;7;7;7;NA;6;5;2;5;6;NA;3;2;2;6;6;6;2;3;5;5;6;6;-3;-3;10;0;9;0;6;-6;-6;12;-5;-10;42;30;35;NA;14;42;4;3;2.5;3.5
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;5;2;4;2;5;4;3;5;4;3;3;1;1;4;7;6;3;4;-1;0;0;0;0;0;0;0;0;3;3;3;NA;5;5;5;7;6;NA;3;2;1;6;6;NA;3;3;3;4;4;5;5;5;5;5;7;5;0;0;12;0;9;0;0;0;0;18;0;-3;15;10;42;NA;5;36;4;3.5;3;4.5
"Male";40;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
