"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"xtcUseDoseHigh";"xtcUseDosePref";"xtcUsePillHigh";"xtcUsePillPref";"weight_other";"highDose_IntentionRAA_intention";"highDose_IntentionRAA_want";"highDose_IntentionRAA_expectation";"highDose_IntentionFrq_freq.0";"highDose_IntentionFrq_freq.1";"highDose_AttGeneral_good";"highDose_AttGeneral_prettig";"highDose_AttGeneral_slim";"highDose_AttGeneral_gezond";"highDose_AttGeneral_spannend";"highDose_NormGeneral_in1";"highDose_NormGeneral_in2";"highDose_NormGeneral_dn1";"highDose_NormGeneral_dn2";"highDose_PBCgeneral_ifwanted";"highDose_PBCgeneral_easy";"highDose_PBCgeneral_control";"highDose_PBCgeneral_externalFactors";"highDose_PBCgeneral_notOnlyMe";"highDose_OpenWhy";"highDose_OpenWhyNot";"highDose_AttBeliefs_long";"highDose_AttBeliefs_intensity";"highDose_AttBeliefs_intoxicated";"highDose_AttBeliefs_energy";"highDose_AttBeliefs_euphoria";"highDose_AttBeliefs_insight";"highDose_AttBeliefs_connection";"highDose_AttBeliefs_contact";"highDose_AttBeliefs_sex";"highDose_AttBeliefs_coping";"highDose_AttBeliefs_isolated";"highDose_AttBeliefs_boundaries";"highDose_AttBeliefs_music";"highDose_AttBeliefs_hallucinate";"highDose_AttBeliefs_timeAwareness";"highDose_AttBeliefs_memory";"highDose_AttBeliefs_health";"highDose_AttBeliefs_better";"highDose_AttBeliefs_physicalSideEffects";"highDose_AttBeliefs_psychicSideEffects";"highDose_AttBeliefs_regret";"highDose_AttDesirable_long";"highDose_AttDesirable_intens";"highDose_AttDesirable_intoxicated";"highDose_AttDesirable_energy";"highDose_AttDesirable_euphoria";"highDose_AttDesirable_insight";"highDose_AttDesirable_connection";"highDose_AttDesirable_contact";"highDose_AttDesirable_sex";"highDose_AttDesirable_coping";"highDose_AttDesirable_isolated";"highDose_AttDesirable_boundaries";"highDose_AttDesirable_purity";"highDose_AttDesirable_music";"highDose_AttDesirable_hallucinate";"highDose_AttDesirable_timeAwareness";"highDose_AttDesirable_memory";"highDose_NormBeliefs_partner";"highDose_NormBeliefs_bestFriends";"highDose_NormBeliefs_xtcFriends";"highDose_NormBeliefs_otherFriends";"highDose_NormBeliefs_partyPeople";"highDose_NormBeliefs_parents";"highDose_NormBeliefs_siblings";"highDose_NormMTC_partner";"highDose_NormMTC_bestFriends";"highDose_NormMTC_xtcFriends";"highDose_NormMTC_otherFriends";"highDose_NormMTC_partyPeople";"highDose_NormMTC_parents";"highDose_NormMTC_siblings";"highDose_DescrNorm_partner";"highDose_DescrNorm_bestFriends";"highDose_DescrNorm_xtcFriends";"highDose_DescrNorm_otherFriends";"highDose_DescrNorm_partyPeople";"highDose_DescrNorm_parents";"highDose_DescrNorm_siblings";"highDose_ContrBeliefs_sayNo";"highDose_ContrBeliefs_highDoseEasy";"highDose_ContrBeliefs_normalDoseEasy";"highDose_ContrBeliefs_easyHighDoseWhenHigh";"highDose_ContrBeliefs_easyNormalDoWhenHigh";"highDose_Tolerance_tolerance";"highDose_attProduct_boundaries";"highDose_attProduct_connection";"highDose_attProduct_contact";"highDose_attProduct_coping";"highDose_attProduct_energy";"highDose_attProduct_euphoria";"highDose_attProduct_hallucinate";"highDose_attProduct_insight";"highDose_attProduct_intoxicated";"highDose_attProduct_isolated";"highDose_attProduct_long";"highDose_attProduct_memory";"highDose_attProduct_music";"highDose_attProduct_sex";"highDose_attProduct_timeAwareness";"highDose_normProduct_bestFriends";"highDose_normProduct_otherFriends";"highDose_normProduct_parents";"highDose_normProduct_partner";"highDose_normProduct_partyPeople";"highDose_normProduct_siblings";"highDose_normProduct_xtcFriends";"highDose_intention";"highDose_attitude";"highDose_perceivedNorm";"highDose_pbc"
"Male";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";7;"Ja, ik doe VMBO (vroeger MAVO)";NA;NA;NA;4;2;70;4;3;3;"1";1;4;5;3;3;3;1;1;2;4;7;4;2;1;7;"Om hard te gaan met feesten";"Brak de dag er na";0;0;3;3;0;1;-1;2;-1;0;-1;0;0;1;-2;-3;-1;3;-3;1;-1;0;0;0;0;3;-3;3;3;0;3;3;1;0;0;0;-1;1;7;3;7;4;4;1;4;3;-1;3;0;0;-3;0;4;4;4;5;4;1;4;7;4;4;4;4;7;0;-3;6;0;0;0;0;-3;0;-3;0;-3;0;0;2;-3;0;-3;21;0;0;21;3.33333333333333;3.6;2;4.2
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";100;300;NA;NA;71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;2;1;70;4;2;2;"0";1;1;1;1;1;4;1;1;1;1;5;3;7;1;7;"Mensen willen de piek erg snel en heftig ervaren als ze meteen een hoge dosis XTC nemen. Mensen die verspreid over de hele avond een hoge dosis nemen willen dat het \"niet stopt\". ";"Slecht voor de gezondheid";0;3;3;2;0;-3;1;2;0;1;3;0;3;3;3;0;-3;0;3;2;0;3;3;-1;3;3;3;3;3;3;3;-3;-3;3;3;1;-3;3;5;5;5;NA;7;NA;NA;3;3;3;NA;-3;NA;NA;3;6;5;NA;6;NA;NA;7;3;7;3;7;6;0;3;6;3;6;0;3;-9;-3;-9;0;0;9;0;-9;15;NA;NA;15;-21;NA;15;2.66666666666667;1.6;1;4.6
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe MBO (ROC)";NA;NA;NA;2.75;2;57.5;7;7;7;"5";1;4;7;3;1;4;1;2;6;7;7;6;6;3;5;NA;NA;2;3;3;0;1;0;3;3;1;2;0;0;2;3;3;0;-3;3;2;0;0;3;3;1;3;3;1;3;3;1;2;0;-1;3;3;-1;0;1;7;3;7;6;7;4;NA;3;2;1;1;-3;3;NA;7;3;7;6;6;1;NA;5;6;3;7;3;2;0;9;9;4;0;3;-3;0;3;0;6;0;6;1;0;6;6;12;21;-21;NA;7;7;3.8;4;5.4
"Male";30;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";250;200;NA;NA;133;7;5;7;"2";1;6;7;6;4;4;1;6;4;5;7;6;6;3;5;"De verhouding dosis/lichaamsgewicht en de verhouding dosis/resistentie";"In het bij zijn van mensen die voor het eerst gebruiken, om beter op hen te kunnen passen.";1;3;3;1;1;2;1;1;0;0;0;2;1;0;0;0;-1;1;1;1;0;2;2;2;0;1;3;1;0;0;0;0;0;2;3;-3;-1;1;NA;5;5;4;4;1;3;NA;0;1;-2;1;-3;-3;NA;5;6;1;4;1;1;7;5;7;3;5;5;0;1;0;0;0;1;0;6;6;0;2;0;3;0;0;0;-8;-3;NA;4;-9;5;6.33333333333333;5.4;4;5.4
"Female";31;"Ik wil deze vraag niet beantwoorden";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";90;60;NA;NA;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";30;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;0.5;1;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";60;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";34;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";120;150;NA;NA;75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";37;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";150;200;NA;NA;70;3;2;2;"1";1;3;5;2;1;4;1;4;3;3;7;4;7;5;7;"In plaats van alleen het prettige knuffelige gevoel, even helemaal van de kaart zijn";"De kater wordt ook groter";1;3;3;-1;-2;-3;-2;-2;-3;3;2;1;2;1;2;-3;-3;1;2;1;2;3;1;2;2;2;-2;3;2;2;3;0;-3;3;3;-3;-2;3;6;5;7;4;6;2;5;3;2;3;-2;-2;-2;-2;1;4;6;4;5;1;2;7;5;7;6;2;5;-3;-6;-4;9;-2;-4;-3;6;6;0;3;-9;6;-6;-4;10;-8;-4;18;-12;-10;21;2.33333333333333;3;2.75;6
"Male";38;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";120;150;1.5;1.5;86;6;6;6;"3";1;5;5;4;4;6;2;2;4;4;1;7;7;1;7;NA;NA;0;2;0;2;2;1;1;2;0;1;1;0;3;0;3;0;0;2;0;0;0;1;2;0;2;2;2;2;2;3;0;0;0;3;3;0;-3;0;6;4;6;4;6;1;4;3;0;0;0;0;0;0;4;4;4;4;4;1;2;7;7;7;2;7;5;0;2;4;0;4;4;0;2;0;0;0;0;9;0;-9;0;0;0;18;0;0;0;6;4.8;3;4.6
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;2;1.5;72;5;5;5;"2";1;5;5;3;3;5;2;2;2;5;5;5;3;5;6;NA;NA;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;-2;0;2;2;1;1;1;1;1;3;0;0;0;1;0;0;0;2;1;0;0;1;NA;3;5;4;4;1;3;NA;-1;-1;-1;-1;-1;-1;NA;4;5;4;4;1;3;7;4;7;4;7;3;0;0;0;0;1;3;0;0;1;0;1;0;0;1;0;-3;-4;-1;NA;-4;-3;-5;5;4.2;2.75;4.8
"Male";40;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";34;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";150;125;NA;NA;82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";42;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";70;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
