ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
"R House, D Senate",10/6/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,283
"D House, D Senate",10/7/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.30,565
"D House, R Senate",10/7/2019 12:00:00 AM,$0.51,$0.51,$0.50,$0.50,271
"R House, R Senate",10/7/2019 12:00:00 AM,$0.25,$0.27,$0.25,$0.25,567
"R House, D Senate",10/7/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,271
"D House, D Senate",10/8/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,606
"D House, R Senate",10/8/2019 12:00:00 AM,$0.50,$0.51,$0.50,$0.51,289
"R House, R Senate",10/8/2019 12:00:00 AM,$0.25,$0.27,$0.24,$0.26,2024
"R House, D Senate",10/8/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,2063
"D House, D Senate",10/9/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,354
"D House, R Senate",10/9/2019 12:00:00 AM,$0.51,$0.51,$0.50,$0.51,289
"R House, R Senate",10/9/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.25,281
"R House, D Senate",10/9/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,116
"D House, D Senate",10/10/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,218
"D House, R Senate",10/10/2019 12:00:00 AM,$0.51,$0.51,$0.50,$0.50,98
"R House, R Senate",10/10/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.26,345
"R House, D Senate",10/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
"D House, D Senate",10/11/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.32,185
"D House, R Senate",10/11/2019 12:00:00 AM,$0.50,$0.51,$0.50,$0.50,184
"R House, R Senate",10/11/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.27,565
"R House, D Senate",10/11/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,202
"D House, D Senate",10/12/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,687
"D House, R Senate",10/12/2019 12:00:00 AM,$0.50,$0.51,$0.50,$0.50,800
"R House, R Senate",10/12/2019 12:00:00 AM,$0.27,$0.27,$0.25,$0.27,1254
"R House, D Senate",10/12/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,535
"D House, D Senate",10/13/2019 12:00:00 AM,$0.30,$0.32,$0.29,$0.30,181
"D House, R Senate",10/13/2019 12:00:00 AM,$0.50,$0.51,$0.50,$0.50,699
"R House, R Senate",10/13/2019 12:00:00 AM,$0.27,$0.27,$0.25,$0.26,1957
"R House, D Senate",10/13/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,208
"D House, D Senate",10/14/2019 12:00:00 AM,$0.30,$0.32,$0.29,$0.32,692
"D House, R Senate",10/14/2019 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,424
"R House, R Senate",10/14/2019 12:00:00 AM,$0.26,$0.28,$0.26,$0.27,911
"R House, D Senate",10/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,386
"D House, D Senate",10/15/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,680
"D House, R Senate",10/15/2019 12:00:00 AM,$0.50,$0.51,$0.49,$0.50,251
"R House, R Senate",10/15/2019 12:00:00 AM,$0.27,$0.29,$0.27,$0.28,2185
"R House, D Senate",10/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,219
"D House, D Senate",10/16/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.30,1619
"D House, R Senate",10/16/2019 12:00:00 AM,$0.50,$0.50,$0.49,$0.49,911
"R House, R Senate",10/16/2019 12:00:00 AM,$0.28,$0.30,$0.27,$0.27,3249
"R House, D Senate",10/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,930
"D House, D Senate",10/17/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,490
"D House, R Senate",10/17/2019 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,446
"R House, R Senate",10/17/2019 12:00:00 AM,$0.27,$0.29,$0.27,$0.27,681
"R House, D Senate",10/17/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2146
"D House, D Senate",10/18/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.31,1039
"D House, R Senate",10/18/2019 12:00:00 AM,$0.49,$0.50,$0.48,$0.49,897
"R House, R Senate",10/18/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,880
"R House, D Senate",10/18/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1030
"D House, D Senate",10/19/2019 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,372
"D House, R Senate",10/19/2019 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,36
"R House, R Senate",10/19/2019 12:00:00 AM,$0.28,$0.29,$0.27,$0.27,918
"R House, D Senate",10/19/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,72
"D House, D Senate",10/20/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.31,65
"D House, R Senate",10/20/2019 12:00:00 AM,$0.48,$0.48,$0.48,$0.48,51
"R House, R Senate",10/20/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,566
"R House, D Senate",10/20/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,26
"D House, D Senate",10/21/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.32,287
"D House, R Senate",10/21/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,18
"R House, R Senate",10/21/2019 12:00:00 AM,$0.27,$0.28,$0.27,$0.27,268
"R House, D Senate",10/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,175
"D House, D Senate",10/22/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.31,413
"D House, R Senate",10/22/2019 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,406
"R House, R Senate",10/22/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.26,1044
"R House, D Senate",10/22/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4133
"D House, D Senate",10/23/2019 12:00:00 AM,$0.31,$0.32,$0.30,$0.32,406
"D House, R Senate",10/23/2019 12:00:00 AM,$0.47,$0.49,$0.47,$0.49,103
"R House, R Senate",10/23/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.27,1118
"R House, D Senate",10/23/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,155
"D House, D Senate",10/24/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.32,191
"D House, R Senate",10/24/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,142
"R House, R Senate",10/24/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.26,190
"R House, D Senate",10/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
"D House, D Senate",10/25/2019 12:00:00 AM,$0.32,$0.33,$0.31,$0.32,1314
"D House, R Senate",10/25/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,163
"R House, R Senate",10/25/2019 12:00:00 AM,$0.26,$0.29,$0.26,$0.27,3623
"R House, D Senate",10/25/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,189
"D House, D Senate",10/26/2019 12:00:00 AM,$0.32,$0.33,$0.31,$0.32,178
"D House, R Senate",10/26/2019 12:00:00 AM,$0.48,$0.49,$0.47,$0.49,1030
"R House, R Senate",10/26/2019 12:00:00 AM,$0.27,$0.28,$0.27,$0.28,514
"R House, D Senate",10/26/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,27
"D House, D Senate",10/27/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.32,485
"D House, R Senate",10/27/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,468
"R House, R Senate",10/27/2019 12:00:00 AM,$0.28,$0.28,$0.27,$0.28,578
"R House, D Senate",10/27/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,467
"D House, D Senate",10/28/2019 12:00:00 AM,$0.32,$0.33,$0.31,$0.32,1215
"D House, R Senate",10/28/2019 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,1284
"R House, R Senate",10/28/2019 12:00:00 AM,$0.28,$0.28,$0.26,$0.26,476
"R House, D Senate",10/28/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,207
"D House, D Senate",10/29/2019 12:00:00 AM,$0.32,$0.33,$0.31,$0.33,1266
"D House, R Senate",10/29/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,666
"R House, R Senate",10/29/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.26,1415
"R House, D Senate",10/29/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,987
"D House, D Senate",10/30/2019 12:00:00 AM,$0.33,$0.33,$0.33,$0.33,190
"D House, R Senate",10/30/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,483
"R House, R Senate",10/30/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,106
"R House, D Senate",10/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
"D House, D Senate",10/31/2019 12:00:00 AM,$0.33,$0.33,$0.31,$0.32,607
"D House, R Senate",10/31/2019 12:00:00 AM,$0.48,$0.48,$0.48,$0.48,27
"R House, R Senate",10/31/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.25,1216
"R House, D Senate",10/31/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,4
"D House, D Senate",11/1/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,47
"D House, R Senate",11/1/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,284
"R House, R Senate",11/1/2019 12:00:00 AM,$0.25,$0.27,$0.25,$0.26,546
"R House, D Senate",11/1/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,5
"D House, D Senate",11/2/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.32,38
"D House, R Senate",11/2/2019 12:00:00 AM,$0.49,$0.49,$0.49,$0.49,2
"R House, R Senate",11/2/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.27,106
"R House, D Senate",11/2/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,859
"D House, D Senate",11/3/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,158
"D House, R Senate",11/3/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,58
"R House, R Senate",11/3/2019 12:00:00 AM,$0.27,$0.27,$0.25,$0.25,743
"R House, D Senate",11/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,25
"D House, D Senate",11/4/2019 12:00:00 AM,$0.31,$0.33,$0.31,$0.32,1653
"D House, R Senate",11/4/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,519
"R House, R Senate",11/4/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.26,1207
"R House, D Senate",11/4/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,25
"D House, D Senate",11/5/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,1425
"D House, R Senate",11/5/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,445
"R House, R Senate",11/5/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.25,519
"R House, D Senate",11/5/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,52
"D House, D Senate",11/6/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.31,928
"D House, R Senate",11/6/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,536
"R House, R Senate",11/6/2019 12:00:00 AM,$0.25,$0.27,$0.25,$0.27,1695
"R House, D Senate",11/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
"D House, D Senate",11/7/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.32,232
"D House, R Senate",11/7/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,646
"R House, R Senate",11/7/2019 12:00:00 AM,$0.27,$0.27,$0.25,$0.26,1940
"R House, D Senate",11/7/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6
"D House, D Senate",11/8/2019 12:00:00 AM,$0.32,$0.34,$0.32,$0.34,1700
"D House, R Senate",11/8/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,77
"R House, R Senate",11/8/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,1432
"R House, D Senate",11/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
"D House, D Senate",11/9/2019 12:00:00 AM,$0.34,$0.34,$0.32,$0.32,615
"D House, R Senate",11/9/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,233
"R House, R Senate",11/9/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,343
"R House, D Senate",11/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,127
"D House, D Senate",11/10/2019 12:00:00 AM,$0.32,$0.34,$0.31,$0.31,2204
"D House, R Senate",11/10/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,1794
"R House, R Senate",11/10/2019 12:00:00 AM,$0.26,$0.26,$0.24,$0.25,1197
"R House, D Senate",11/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",11/11/2019 12:00:00 AM,$0.31,$0.33,$0.31,$0.33,484
"D House, R Senate",11/11/2019 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,645
"R House, R Senate",11/11/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,589
"R House, D Senate",11/11/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,119
"D House, D Senate",11/12/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.32,542
"D House, R Senate",11/12/2019 12:00:00 AM,$0.49,$0.49,$0.46,$0.48,3152
"R House, R Senate",11/12/2019 12:00:00 AM,$0.25,$0.29,$0.24,$0.25,3401
"R House, D Senate",11/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,33
"D House, D Senate",11/13/2019 12:00:00 AM,$0.32,$0.33,$0.32,$0.32,35
"D House, R Senate",11/13/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,239
"R House, R Senate",11/13/2019 12:00:00 AM,$0.25,$0.27,$0.25,$0.27,539
"R House, D Senate",11/13/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,65
"D House, D Senate",11/14/2019 12:00:00 AM,$0.32,$0.33,$0.32,$0.32,139
"D House, R Senate",11/14/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,208
"R House, R Senate",11/14/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,175
"R House, D Senate",11/14/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,92
"D House, D Senate",11/15/2019 12:00:00 AM,$0.32,$0.33,$0.32,$0.33,1470
"D House, R Senate",11/15/2019 12:00:00 AM,$0.48,$0.49,$0.46,$0.46,1160
"R House, R Senate",11/15/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,988
"R House, D Senate",11/15/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,861
"D House, D Senate",11/16/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.32,54
"D House, R Senate",11/16/2019 12:00:00 AM,$0.46,$0.47,$0.46,$0.46,187
"R House, R Senate",11/16/2019 12:00:00 AM,$0.28,$0.28,$0.25,$0.27,1065
"R House, D Senate",11/16/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,35
"D House, D Senate",11/17/2019 12:00:00 AM,$0.32,$0.33,$0.32,$0.33,31
"D House, R Senate",11/17/2019 12:00:00 AM,$0.46,$0.47,$0.44,$0.47,1454
"R House, R Senate",11/17/2019 12:00:00 AM,$0.27,$0.27,$0.24,$0.25,912
"R House, D Senate",11/17/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,960
"D House, D Senate",11/18/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.33,610
"D House, R Senate",11/18/2019 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,731
"R House, R Senate",11/18/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.25,127
"R House, D Senate",11/18/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",11/19/2019 12:00:00 AM,$0.33,$0.33,$0.31,$0.32,1177
"D House, R Senate",11/19/2019 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,1114
"R House, R Senate",11/19/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.24,796
"R House, D Senate",11/19/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,34
"D House, D Senate",11/20/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,91
"D House, R Senate",11/20/2019 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,492
"R House, R Senate",11/20/2019 12:00:00 AM,$0.24,$0.25,$0.24,$0.25,1293
"R House, D Senate",11/20/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,53
"D House, D Senate",11/21/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.31,125
"D House, R Senate",11/21/2019 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,531
"R House, R Senate",11/21/2019 12:00:00 AM,$0.25,$0.25,$0.24,$0.25,412
"R House, D Senate",11/21/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,60
"D House, D Senate",11/22/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.32,83
"D House, R Senate",11/22/2019 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,133
"R House, R Senate",11/22/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,891
"R House, D Senate",11/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",11/23/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.32,723
"D House, R Senate",11/23/2019 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,15
"R House, R Senate",11/23/2019 12:00:00 AM,$0.25,$0.25,$0.24,$0.25,347
"R House, D Senate",11/23/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1002
"D House, D Senate",11/24/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.31,287
"D House, R Senate",11/24/2019 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,19
"R House, R Senate",11/24/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,947
"R House, D Senate",11/24/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3
"D House, D Senate",11/25/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.32,32
"D House, R Senate",11/25/2019 12:00:00 AM,$0.48,$0.48,$0.48,$0.48,526
"R House, R Senate",11/25/2019 12:00:00 AM,$0.25,$0.25,$0.24,$0.24,1921
"R House, D Senate",11/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",11/26/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.31,1319
"D House, R Senate",11/26/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,1504
"R House, R Senate",11/26/2019 12:00:00 AM,$0.24,$0.25,$0.24,$0.25,809
"R House, D Senate",11/26/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,357
"D House, D Senate",11/27/2019 12:00:00 AM,$0.31,$0.31,$0.30,$0.31,81
"D House, R Senate",11/27/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,260
"R House, R Senate",11/27/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.26,791
"R House, D Senate",11/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
"D House, D Senate",11/28/2019 12:00:00 AM,$0.31,$0.31,$0.30,$0.30,253
"D House, R Senate",11/28/2019 12:00:00 AM,$0.49,$0.49,$0.49,$0.49,455
"R House, R Senate",11/28/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.25,140
"R House, D Senate",11/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
"D House, D Senate",11/29/2019 12:00:00 AM,$0.30,$0.31,$0.30,$0.30,19
"D House, R Senate",11/29/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,255
"R House, R Senate",11/29/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.25,608
"R House, D Senate",11/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
"D House, D Senate",11/30/2019 12:00:00 AM,$0.30,$0.31,$0.30,$0.31,2
"D House, R Senate",11/30/2019 12:00:00 AM,$0.49,$0.49,$0.49,$0.49,10
"R House, R Senate",11/30/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.26,12
"R House, D Senate",11/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",12/1/2019 12:00:00 AM,$0.31,$0.31,$0.30,$0.30,27
"D House, R Senate",12/1/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,36
"R House, R Senate",12/1/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,79
"R House, D Senate",12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
"D House, D Senate",12/2/2019 12:00:00 AM,$0.30,$0.31,$0.30,$0.30,129
"D House, R Senate",12/2/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,166
"R House, R Senate",12/2/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,307
"R House, D Senate",12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
"D House, D Senate",12/3/2019 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,746
"D House, R Senate",12/3/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,96
"R House, R Senate",12/3/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,1371
"R House, D Senate",12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",12/4/2019 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,143
"D House, R Senate",12/4/2019 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,44
"R House, R Senate",12/4/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.26,371
"R House, D Senate",12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
"D House, D Senate",12/5/2019 12:00:00 AM,$0.30,$0.31,$0.29,$0.31,78
"D House, R Senate",12/5/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,213
"R House, R Senate",12/5/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.27,1060
"R House, D Senate",12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
"D House, D Senate",12/6/2019 12:00:00 AM,$0.31,$0.31,$0.30,$0.30,43
"D House, R Senate",12/6/2019 12:00:00 AM,$0.49,$0.49,$0.49,$0.49,160
"R House, R Senate",12/6/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.27,2147
"R House, D Senate",12/6/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,41
"D House, D Senate",12/7/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.31,3000
"D House, R Senate",12/7/2019 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,1818
