"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/23/2024","5:36 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET1)_RTSS_23_March_2024_IgG3_AK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET1)_RTSS_23_Mar_2024_TotalIgG_JN"
"ProtocolVersion","2"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/23/2024 10:43:37 AM"
"BatchStopTime","3/23/2024 11:55:10 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/22/2024 9:13:06 AM"
"Last VER Verification","Passed 3/23/2024 3:06:41 AM"
"Last Fluidics Test","Passed 3/23/2024 3:08:01 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/22/2024 9:13:06 AM","28.7","28.7","28.7","28.7","202","223","395","395","0.007","0.007","0.00387","0.11453","Pass","MAGPX15265701"


"Samples","87","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"63(1,G8)","RCM-022","7.5","11","21","7","5","9","10","9","48","6","1084"
"64(1,H8)","RCC-022-T01","9","209","21","8","4.5","10","10","13","9","10","1090"
"65(1,A9)","RCC-022-T06","10","553","21.5","8","6","12","7","14","8891","8","1129"
"66(1,B9)","RCC-022-T08","5","10","19","7","5","8","5","7","340.5","5","1015"
"67(1,C9)","RCM-023","8","13","22","8","5","10","905.5","8","22","8","1085"
"68(1,D9)","RCC-023-T01","7","1080.5","21","7","4","9","8","8","12","5","1105"
"69(1,E9)","RCC-023-T06","8","462","48","8","6","10","9","9","18059","8","1105"
"70(1,F9)","RCC-023-T08","7","343","34","7","5","9","7","7","1192","6","1047"
"71(1,G9)","RCM-024","639.5","11","28.5","8","5","395.5","210","8","596","8","1034"
"72(1,H9)","RCC-024-T01","12","67","50","10","4","21","10","12","10","6","1016"
"73(1,A10)","RCC-024-T07","16","17","28","11","8","14","12","11","12388","10","1001"
"74(1,B10)","RCC-024-T08","7","10","22","8","5","9","7","7","418","6","1193"
"75(1,C10)","RCM-025","8","11","20.5","8","5","11","31","7","81.5","9","936"
"76(1,D10)","RCC-025-T01","20","332","6074","14","10","19","14","26","14","10.5","937"
"77(1,E10)","RCC-025-T07","7","113","1303","8","5","10","8","8","9197","6.5","998"
"78(1,F10)","RCC-025-T08","6","145","534","8","5","9","8.5","8","687","6","1106"
"79(1,G10)","RCM-026","41","20","29.5","11","7","6851.5","5612.5","10","28","14","917"
"80(1,H10)","RCC-026-T01","9","35","226","11","5","14","8","15","24.5","6","952"
"81(1,A11)","RCC-026-T07","12","13","23","12","8","12","9","303","21761","10","1142"
"82(1,B11)","RCC-026-T08","14","27","32","15","5","25.5","11","22","401.5","8","992"
"83(1,C11)","RCM-029","1278.5","16","35","12","8","62","13096","12","269","205","1055"
"84(1,D11)","RCC-029-T01","12","15","20","12","6.5","13","12","23","105","7","1086"
"85(1,E11)","RCC-029-T07","7","14","32","9","5","12","8","10","8967","7","1151"
"86(1,F11)","RCC-029-T08","11","15","28","10.5","5","14","8","113","4805","10","971"
"87(1,G11)","RCM-031","5425","17","30.5","10","7","15213","3591","10","41","18","1192"
"88(1,H11)","RCC-031-T01","69.5","187","24","10","6","14","10","11","10","7","1298"
"89(1,A12)","RCC-031-T07","259","253","27","13","10.5","16","13","16","19437","14","1066"
"90(1,B12)","RCC-031-T08","140","315","25","11","8","14","10","13","1912","10","1002"
"91(1,C12)","RCM-034","6","12","21","8","5","53","22","14","37","13","992"
"92(1,D12)","RCC-034-T01","12","61","19","9","8","14","6","9","7","6","1232"
"93(1,E12)","RCC-034-T07","23234","31","47","20","13","602","28750.5","24","3513","34","1009"
"94(1,F12)","RCC-034-T08","13","18","21","16","8","16","10","15","134","14","927"
"95(1,G12)","HCAM-001","7","11","23","8","6","10","6","9","8","8","1031"
"96(1,H12)","HCAM-001","6","11","21","8","6","10","6","8","7","7","963"

"DataType:","Net MFI"
"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","0","0","0.75","0","-0.5","0","0","0","0","0.25","1060"
"2(1,B1)","African-Mix-Standard01","649.5","8","10.75","4","1.5","38","1935.5","4","55","21.25","771"
"3(1,C1)","African-Mix-Standard02","261","5","8.75","4","2.5","20","794","4","28","13.75","847"
"4(1,D1)","African-Mix-Standard03","103","4","4.75","3","2.5","11","312","4","14.5","7.75","908"
"5(1,E1)","African-Mix-Standard04","40","0","0.75","1","-0.5","4","111","0.5","6","2.75","1049"
"6(1,F1)","African-Mix-Standard05","16","1","1.75","1","-0.5","2","46","0","4","2.75","1036"
"7(1,G1)","African-Mix-Standard06","7","0","-0.25","1","0.5","2","17","0","3","0.75","1050"
"8(1,H1)","African-Mix-Standard07","4","0","1.25","0","-0.5","0","8","0","1","0.75","958"
"9(1,A2)","Background0","0","0","-0.75","0","0.5","0","0","0","0","-0.25","988"
"10(1,B2)","African-Mix-Standard01","588","8","12.75","4","0.5","37","1823","5","46.5","22.75","793"
"11(1,C2)","African-Mix-Standard02","254.5","6","7.75","3","1.5","19","785","3","23","11.75","1009"
"12(1,D2)","African-Mix-Standard03","95","2","2.75","2","0.5","8","293","1","11.5","5.75","904"
"13(1,E2)","African-Mix-Standard04","35","1","1.75","1","-0.5","4","106.5","1","6","3.75","914"
"14(1,F2)","African-Mix-Standard05","14","0","0.75","1","-0.5","3","43.5","0","4","1.75","864"
"15(1,G2)","African-Mix-Standard06","6","0","-0.25","1","-0.5","1","16","0","1","0.75","1133"
"16(1,H2)","African-Mix-Standard07","3","0","-0.25","1","-0.5","1","8","1","1","0.75","883"
"17(1,A3)","Healthy-control-negative","3.5","1","1.25","0.5","0.5","1","1","1","27","6.75","880"
"18(1,B3)","Healthy-control-negative","3","1","0.75","1","-0.5","1","1","0.5","27","8.75","773"
"19(1,C3)","RCM-002","7337","172","8.75","4","3.5","63","618","8","13","20.75","819"
"20(1,D3)","RCC-002-T01","83","8","2.75","4","0.5","5","4","4","10","1.75","941"
"21(1,E3)","RCC-002-T07","42","14","2.75","8","3.5","10","8","14","11288","10.75","872"
"22(1,F3)","RCC-002-T08","12","34","1.75","10","1.5","25","10","15","633.5","6.75","811"
"23(1,G3)","RCM-004","1775","36.5","6.75","6","5.5","3025.5","222.5","9","21","9.75","1109"
"24(1,H3)","RCC-004-T01","19","5","3598.25","3","0.5","9","4","6","15","1.75","813"
"25(1,A4)","RCC-004-T07","15","9","7006.75","3","0.5","5","8","6","3134","2.75","1090"
"26(1,B4)","RCC-004-T08","6","8","1969.75","4","0.5","6","9.5","6","122","1.75","673"
"27(1,C4)","RCM-006","635","13","29.75","8","3.5","87","11956","9","818.5","18.75","764"
"28(1,D4)","RCC-006-T01","4","95","10.75","4.5","0.5","7","4","10","9","33.25","825"
"29(1,E4)","RCC-006-T07","12","6605","23.75","7","2.5","6","4","7","14130.5","6.75","723"
"30(1,F4)","RCC-006-T08","12","5115","11.75","7","1.5","7.5","4","6","1904","4.75","1055"
"31(1,G4)","RCC-007-T07","8","15","42.75","8","2.5","6","3","7","5530.5","2.75","949"
"32(1,H4)","RCC-007-T01","9","96","171.25","3","0.5","6","3","5","3","1.75","923"
"33(1,A5)","RCC-007-T08","79.5","14","13.75","3","1.5","5","3","3","117.5","1.75","851"
"34(1,B5)","RCM-008","111","4","0.75","2","1.5","4883.5","44","3","111.5","3.75","981"
"35(1,C5)","RCC-008-T01","61","9","15.75","1","0.5","5","1","2","2","0.75","871"
"36(1,D5)","RCC-008-T07","8","18","14.75","1","0.5","3","1","2","1334.5","1.75","1075"
"37(1,E5)","RCC-008-T08","6","11","4.75","2","0.5","3","1","3","41","1.75","890"
"38(1,F5)","RCM-009","37","14","11.75","9","5","13","8","11","164","34.75","927"
"39(1,G5)","RCC-009-T01","71","7.5","12.75","7","8.5","8","9","17","8","3.75","787"
"40(1,H5)","RCC-009-T07","30","4","18.75","2","1.5","3","2","3","5457","1.75","957"
"41(1,A6)","RCC-009-T08","15","1","11.75","3","1","4","3","3","222.5","1.75","992"
"42(1,B6)","RCM-010","2550.5","11","19.75","8","3.5","9376","10000","17","1869","23.75","904"
"43(1,C6)","RCC-010-T01","4","3","73.25","2","0.5","4","9","3","7","1.75","944"
"44(1,D6)","RCC-010-T07","4","2","24.75","4","0.5","3","9","2","9113.5","3.75","945"
"45(1,E6)","RCC-010-T08","4","3","16.75","4","-0.5","6","7.5","4","460","1.75","818"
"46(1,F6)","RCM-011","1084","193","45.25","7","3.5","27","1184.5","560","1841","62.75","1018"
"47(1,G6)","RCC-011-T01","12","147","4.75","5","3.5","10","9","12","5","2.75","903"
"48(1,H6)","RCC-011-T07","5","17","7.75","5","1.5","7","4","9","18961","5.75","789"
"49(1,A7)","RCC-011-T08","4","16","3.75","3","1.5","5","5","16","2162","4.75","1078"
"50(1,B7)","RCM-012","89","48.5","2.75","4","3.5","11.5","26","13","323","75.25","978"
"51(1,C7)","RCC-012-T01","425","94","3.75","3","2.5","94","6","6","3","1.75","1033"
"52(1,D7)","RCC-012-T07","163","30","1.75","3","1.5","11","6","3","15490","3.75","1082"
"53(1,E7)","RCC-012-T08","157","35.5","2.75","2","-0.5","7","3","2","1542","1.75","917"
"54(1,F7)","RCM-019","1283","1379.5","9.75","4","3.5","8840","5103","5","171","28.75","1045"
"55(1,G7)","RCC-019-T01","562","92","274.75","24","33.5","35","38.5","58","40","14.75","1052"
"56(1,H7)","RCC-019-T07","270.5","29","370.25","5","3.5","6","8","7","17524","4.75","1178"
"57(1,A8)","RCC-019-T08","186.5","30","175.25","5","1.5","4","6","18","1542","4.75","1130"
"59(1,C8)","RCM-020","1153.5","11","3.75","1","0.5","89","12","63","133","10.75","1135"
"60(1,D8)","RCC-020-T01","15","95","96.75","4","4","6","6","9","8","2.75","989"
"61(1,E8)","RCC-020-T07","15","13","542.75","2","1.5","3","4","3","7118","2.75","1050"
"62(1,F8)","RCC-020-T08","5","6","99.75","1","0.5","2","2","2","413.5","0.75","1037"
"63(1,G8)","RCM-022","3.5","2","1.75","1","0.5","2","6","3","43","1.75","1084"
"64(1,H8)","RCC-022-T01","5","200","1.75","2","0","3","6","7","4","5.75","1090"
"65(1,A9)","RCC-022-T06","6","544","2.25","2","1.5","5","3","8","8886","3.75","1129"
"66(1,B9)","RCC-022-T08","1","1","-0.25","1","0.5","1","1","1","335.5","0.75","1015"
"67(1,C9)","RCM-023","4","4","2.75","2","0.5","3","901.5","2","17","3.75","1085"
"68(1,D9)","RCC-023-T01","3","1071.5","1.75","1","-0.5","2","4","2","7","0.75","1105"
"69(1,E9)","RCC-023-T06","4","453","28.75","2","1.5","3","5","3","18054","3.75","1105"
"70(1,F9)","RCC-023-T08","3","334","14.75","1","0.5","2","3","1","1187","1.75","1047"
"71(1,G9)","RCM-024","635.5","2","9.25","2","0.5","388.5","206","2","591","3.75","1034"
"72(1,H9)","RCC-024-T01","8","58","30.75","4","-0.5","14","6","6","5","1.75","1016"
"73(1,A10)","RCC-024-T07","12","8","8.75","5","3.5","7","8","5","12383","5.75","1001"
"74(1,B10)","RCC-024-T08","3","1","2.75","2","0.5","2","3","1","413","1.75","1193"
"75(1,C10)","RCM-025","4","2","1.25","2","0.5","4","27","1","76.5","4.75","936"
"76(1,D10)","RCC-025-T01","16","323","6054.75","8","5.5","12","10","20","9","6.25","937"
"77(1,E10)","RCC-025-T07","3","104","1283.75","2","0.5","3","4","2","9192","2.25","998"
"78(1,F10)","RCC-025-T08","2","136","514.75","2","0.5","2","4.5","2","682","1.75","1106"
"79(1,G10)","RCM-026","37","11","10.25","5","2.5","6844.5","5608.5","4","23","9.75","917"
"80(1,H10)","RCC-026-T01","5","26","206.75","5","0.5","7","4","9","19.5","1.75","952"
"81(1,A11)","RCC-026-T07","8","4","3.75","6","3.5","5","5","297","21756","5.75","1142"
"82(1,B11)","RCC-026-T08","10","18","12.75","9","0.5","18.5","7","16","396.5","3.75","992"
"83(1,C11)","RCM-029","1274.5","7","15.75","6","3.5","55","13092","6","264","200.75","1055"
"84(1,D11)","RCC-029-T01","8","6","0.75","6","2","6","8","17","100","2.75","1086"
"85(1,E11)","RCC-029-T07","3","5","12.75","3","0.5","5","4","4","8962","2.75","1151"
"86(1,F11)","RCC-029-T08","7","6","8.75","4.5","0.5","7","4","107","4800","5.75","971"
"87(1,G11)","RCM-031","5421","8","11.25","4","2.5","15206","3587","4","36","13.75","1192"
"88(1,H11)","RCC-031-T01","65.5","178","4.75","4","1.5","7","6","5","5","2.75","1298"
"89(1,A12)","RCC-031-T07","255","244","7.75","7","6","9","9","10","19432","9.75","1066"
"90(1,B12)","RCC-031-T08","136","306","5.75","5","3.5","7","6","7","1907","5.75","1002"
"91(1,C12)","RCM-034","2","3","1.75","2","0.5","46","18","8","32","8.75","992"
"92(1,D12)","RCC-034-T01","8","52","-0.25","3","3.5","7","2","3","2","1.75","1232"
"93(1,E12)","RCC-034-T07","23230","22","27.75","14","8.5","595","28746.5","18","3508","29.75","1009"
"94(1,F12)","RCC-034-T08","9","9","1.75","10","3.5","9","6","9","129","9.75","927"
"95(1,G12)","HCAM-001","3","2","3.75","2","1.5","3","2","3","3","3.75","1031"
"96(1,H12)","HCAM-001","2","2","1.75","2","1.5","3","2","2","2","2.75","963"

"DataType:","Count"
"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","92","79","116","123","125","99","89","108","105","124","1060"
"2(1,B1)","African-Mix-Standard01","52","77","84","103","86","94","82","85","60","48","771"
"3(1,C1)","African-Mix-Standard02","68","79","89","103","104","86","93","97","61","67","847"
"4(1,D1)","African-Mix-Standard03","71","92","88","113","102","68","91","102","92","89","908"
"5(1,E1)","African-Mix-Standard04","96","98","112","125","105","104","104","122","81","102","1049"
"6(1,F1)","African-Mix-Standard05","88","102","111","123","100","101","102","126","81","102","1036"
"7(1,G1)","African-Mix-Standard06","71","112","111","123","96","107","89","113","99","129","1050"
"8(1,H1)","African-Mix-Standard07","82","84","108","109","80","105","93","108","84","105","958"
"9(1,A2)","Background0","99","82","86","113","86","94","92","103","119","114","988"
"10(1,B2)","African-Mix-Standard01","63","75","83","104","98","77","86","92","60","55","793"
"11(1,C2)","African-Mix-Standard02","76","112","104","118","91","116","113","114","76","89","1009"
"12(1,D2)","African-Mix-Standard03","65","93","96","82","113","88","93","120","78","76","904"
"13(1,E2)","African-Mix-Standard04","79","72","99","110","93","89","96","113","74","89","914"
"14(1,F2)","African-Mix-Standard05","69","81","98","117","83","70","76","109","81","80","864"
"15(1,G2)","African-Mix-Standard06","113","102","116","116","135","92","113","116","115","115","1133"
"16(1,H2)","African-Mix-Standard07","77","86","90","93","106","84","68","102","84","93","883"
"17(1,A3)","Healthy-control-negative","82","88","90","90","89","104","74","114","74","75","880"
"18(1,B3)","Healthy-control-negative","72","88","76","87","81","77","51","100","53","88","773"
"19(1,C3)","RCM-002","69","81","69","73","96","99","68","100","79","85","819"
"20(1,D3)","RCC-002-T01","98","82","82","93","97","88","86","107","99","109","941"
"21(1,E3)","RCC-002-T07","84","77","84","91","79","93","75","90","103","96","872"
"22(1,F3)","RCC-002-T08","77","61","98","81","93","77","71","79","92","82","811"
"23(1,G3)","RCM-004","99","106","135","113","90","108","108","125","105","120","1109"
"24(1,H3)","RCC-004-T01","55","73","76","95","106","71","76","95","76","90","813"
"25(1,A4)","RCC-004-T07","95","111","132","100","111","86","119","104","99","133","1090"
"26(1,B4)","RCC-004-T08","52","66","76","72","95","61","66","75","49","61","673"
"27(1,C4)","RCM-006","59","86","70","77","88","84","63","86","64","87","764"
"28(1,D4)","RCC-006-T01","81","76","77","86","85","83","76","82","85","94","825"
"29(1,E4)","RCC-006-T07","80","65","57","65","72","70","83","68","86","77","723"
"30(1,F4)","RCC-006-T08","84","101","115","99","117","98","97","112","121","111","1055"
"31(1,G4)","RCC-007-T07","92","89","70","92","100","102","88","87","112","117","949"
"32(1,H4)","RCC-007-T01","84","80","92","100","103","81","91","89","99","104","923"
"33(1,A5)","RCC-007-T08","74","78","86","104","74","87","87","83","96","82","851"
"34(1,B5)","RCM-008","88","85","97","93","104","84","97","101","98","134","981"
"35(1,C5)","RCC-008-T01","89","75","82","86","91","91","85","92","83","97","871"
"36(1,D5)","RCC-008-T07","92","90","116","116","93","98","96","130","108","136","1075"
"37(1,E5)","RCC-008-T08","76","96","100","100","103","82","87","88","68","90","890"
"38(1,F5)","RCM-009","75","95","94","96","94","100","89","97","71","116","927"
"39(1,G5)","RCC-009-T01","76","78","77","94","85","71","67","73","78","88","787"
"40(1,H5)","RCC-009-T07","86","86","86","96","95","98","91","121","111","87","957"
"41(1,A6)","RCC-009-T08","89","89","100","115","82","103","90","103","98","123","992"
"42(1,B6)","RCM-010","94","74","97","116","84","92","87","91","77","92","904"
"43(1,C6)","RCC-010-T01","89","79","90","97","98","93","73","105","99","121","944"
"44(1,D6)","RCC-010-T07","109","84","99","83","92","98","86","97","88","109","945"
"45(1,E6)","RCC-010-T08","66","82","75","90","69","87","60","86","92","111","818"
"46(1,F6)","RCM-011","88","79","88","114","97","89","112","125","111","115","1018"
"47(1,G6)","RCC-011-T01","81","76","85","85","96","98","93","98","99","92","903"
"48(1,H6)","RCC-011-T07","58","82","74","83","66","100","81","69","88","88","789"
"49(1,A7)","RCC-011-T08","108","94","127","113","97","96","92","105","127","119","1078"
"50(1,B7)","RCM-012","92","82","97","108","90","96","85","103","107","118","978"
"51(1,C7)","RCC-012-T01","100","93","108","110","95","81","97","115","104","130","1033"
"52(1,D7)","RCC-012-T07","104","90","106","137","114","108","97","94","117","115","1082"
"53(1,E7)","RCC-012-T08","68","66","111","97","80","100","93","89","105","108","917"
"54(1,F7)","RCM-019","93","110","103","121","102","97","103","108","95","113","1045"
"55(1,G7)","RCC-019-T01","103","83","125","112","97","100","80","127","108","117","1052"
"56(1,H7)","RCC-019-T07","98","98","108","139","107","115","114","124","131","144","1178"
"57(1,A8)","RCC-019-T08","88","102","102","121","130","102","103","125","125","132","1130"
"59(1,C8)","RCM-020","100","107","109","121","118","114","88","105","134","139","1135"
"60(1,D8)","RCC-020-T01","84","97","93","112","92","94","91","106","106","114","989"
"61(1,E8)","RCC-020-T07","111","80","103","124","91","96","79","117","121","128","1050"
"62(1,F8)","RCC-020-T08","95","83","107","102","104","107","96","126","104","113","1037"
"63(1,G8)","RCM-022","80","101","105","110","124","102","80","125","111","146","1084"
"64(1,H8)","RCC-022-T01","102","92","110","120","80","95","110","134","120","127","1090"
"65(1,A9)","RCC-022-T06","100","110","136","120","95","109","91","125","119","124","1129"
"66(1,B9)","RCC-022-T08","84","88","116","94","97","100","96","105","114","121","1015"
"67(1,C9)","RCM-023","90","103","104","128","97","116","90","113","114","130","1085"
"68(1,D9)","RCC-023-T01","101","98","94","115","98","127","101","107","113","151","1105"
"69(1,E9)","RCC-023-T06","100","89","98","113","101","101","94","118","138","153","1105"
"70(1,F9)","RCC-023-T08","105","91","113","98","114","91","83","103","125","124","1047"
"71(1,G9)","RCM-024","98","78","102","102","82","122","103","84","119","144","1034"
"72(1,H9)","RCC-024-T01","94","97","105","94","105","91","99","105","115","111","1016"
"73(1,A10)","RCC-024-T07","78","99","94","119","103","98","87","98","105","120","1001"
"74(1,B10)","RCC-024-T08","104","111","100","118","125","124","111","129","137","134","1193"
"75(1,C10)","RCM-025","81","71","82","100","99","96","85","119","94","109","936"
"76(1,D10)","RCC-025-T01","89","83","91","109","105","91","75","97","83","114","937"
"77(1,E10)","RCC-025-T07","85","109","115","107","82","84","97","104","107","108","998"
"78(1,F10)","RCC-025-T08","101","104","109","108","110","87","88","122","142","135","1106"
"79(1,G10)","RCM-026","75","87","88","105","79","92","76","105","95","115","917"
"80(1,H10)","RCC-026-T01","87","75","92","97","92","93","81","105","116","114","952"
