X_WGS84;Y_WGS84;Faidherbia albida;Balanites aegyptiaca;Anogeissus leiocarpus
-16,5362;14,62474;1;0;0
-16,53594;14,62455;0;0;0
-16,5359;14,6245;0;0;0
-16,5364;14,62492;0;0;0
-16,53666;14,62466;1;0;0
-16,53643;14,6245;0;1;0
-16,53639;14,62445;0;1;0
-16,53627;14,62546;0;0;0
-16,53719;14,62526;0;0;0
-16,53675;14,62532;0;0;0
-16,5368;14,62548;0;1;0
-16,53675;14,62553;0;1;0
-16,53735;14,62562;1;0;0
-16,53687;14,6258;0;1;0
-16,53697;14,62596;0;1;0
-16,53692;14,62592;0;1;0
-16,53646;14,62601;0;1;0
-16,53648;14,62585;0;0;0
-16,53645;14,62586;1;0;0
-16,53649;14,62573;0;0;0
-16,53655;14,62565;0;0;0
-16,53761;14,6257;1;0;0
-16,53788;14,62617;1;0;0
-16,53679;14,62649;0;1;0
-16,53642;14,62641;0;1;0
-16,53614;14,62648;0;0;0
-16,53615;14,62639;0;0;0
-16,5362;14,62634;0;0;0
-16,53623;14,62632;0;0;0
-16,53625;14,62628;0;0;0
-16,53631;14,6262;0;0;0
-16,53656;14,62476;0;0;0
-16,53673;14,62485;1;0;0
-16,53717;14,62467;0;0;0
-16,53724;14,62458;0;1;0
-16,53735;14,62443;0;0;0
-16,53659;14,62385;0;0;0
-16,53695;14,62413;0;0;0
-16,53717;14,62431;0;0;0
-16,53689;14,62408;0;0;0
-16,40703;14,62482;1;0;0
-16,40702;14,625;1;0;0
-16,40697;14,62511;1;0;0
-16,40736;14,62482;1;0;0
-16,40699;14,62402;1;0;0
-16,40786;14,62493;1;0;0
-16,40735;14,62499;1;0;0
-16,40686;14,62517;1;0;0
-16,40673;14,62485;1;0;0
-16,40657;14,6247;1;0;0
-16,40671;14,62466;1;0;0
-16,40734;14,62539;0;1;0
-16,40746;14,6255;1;0;0
-16,40726;14,62607;1;0;0
-16,40759;14,62634;1;0;0
-16,40773;14,62632;0;1;0
-16,408;14,62604;0;1;0
-16,40809;14,62588;0;1;0
-16,40775;14,62569;0;1;0
-16,40781;14,62551;1;0;0
-16,40771;14,62529;0;1;0
-16,40781;14,62514;0;1;0
-16,40798;14,62511;1;0;0
-16,40819;14,62512;1;0;0
-16,40821;14,62499;1;0;0
-16,40808;14,62496;0;1;0
-16,40805;14,62462;1;0;0
-16,40772;14,62436;1;0;0
-16,40779;14,6242;1;0;0
-16,40737;14,62535;0;1;0
-16,40739;14,62543;0;1;0
-16,36285;14,62193;1;0;0
-16,3628;14,62174;1;0;0
-16,36318;14,62198;0;1;0
-16,36323;14,62206;1;0;0
-16,36351;14,62176;1;0;0
-16,36334;14,62177;1;0;0
-16,36342;14,6217;1;0;0
-16,36351;14,62201;0;1;0
-16,36356;14,6222;1;0;0
-16,3633;14,62227;0;0;0
-16,3634;14,62217;0;0;0
-16,36329;14,62194;1;0;0
-16,36382;14,62164;0;0;0
-16,36363;14,62348;0;1;0
-16,36349;14,62342;0;1;0
-16,36342;14,62352;0;1;0
-16,36351;14,62368;0;1;0
-16,36361;14,62358;0;1;0
-16,3641;14,62386;0;1;0
-16,36436;14,62375;0;0;0
-16,36443;14,62311;0;0;0
-16,36442;14,62306;0;0;1
-16,36447;14,62308;0;0;0
-16,36428;14,623;0;0;0
-16,36393;14,62292;0;1;0
-16,36385;14,62311;1;0;0
-16,36374;14,62302;0;0;0
-16,36362;14,62282;1;0;0
-16,36435;14,62369;0;0;0
-16,36407;14,62381;0;1;0
-16,39398;14,62007;1;0;0
-16,39381;14,6199;0;1;0
-16,39404;14,61969;0;1;0
-16,3941;14,61958;0;1;0
-16,39412;14,61964;0;1;0
-16,39405;14,61975;0;1;0
-16,39428;14,61975;1;0;0
-16,39417;14,6202;0;1;0
-16,39428;14,62022;0;1;0
-16,3936;14,62102;0;0;0
-16,3939;14,62045;0;1;0
-16,39405;14,62035;0;1;0
-16,39459;14,62021;1;0;0
-16,39428;14,62044;1;0;0
-16,39365;14,62013;1;0;0
-16,39331;14,62022;1;0;0
-16,39336;14,61965;0;0;0
-16,39324;14,61972;0;0;0
-16,39321;14,61978;0;0;0
-16,42956;14,62831;1;0;0
-16,4294;14,62847;1;0;0
-16,42975;14,62833;1;0;0
-16,42978;14,62807;1;0;0
-16,42936;14,62767;1;0;0
-16,4291;14,62757;1;0;0
-16,42883;14,62844;0;1;0
-16,42897;14,62844;1;0;0
-16,42916;14,62841;1;0;0
-16,42911;14,62824;1;0;0
-16,42892;14,62799;1;0;0
-16,42891;14,62817;1;0;0
-16,42996;14,62807;0;1;0
-16,43024;14,62838;1;0;0
-16,43081;14,6283;1;0;0
-16,43079;14,6282;1;0;0
-16,43061;14,62794;1;0;0
-16,43054;14,62764;1;0;0
-16,43069;14,62779;1;0;0
-16,43094;14,62784;1;0;0
-16,4312;14,62809;1;0;0
-16,4311;14,62771;0;1;0
-16,43145;14,62757;1;0;0
-16,43143;14,62737;1;0;0
-16,43144;14,62726;1;0;0
-16,43153;14,62705;1;0;0
-16,43119;14,62736;1;0;0
-16,43104;14,62727;1;0;0
-16,43107;14,62717;1;0;0
-16,43094;14,62739;1;0;0
-16,43083;14,62739;1;0;0
-16,43071;14,62722;1;0;0
-16,43038;14,62731;1;0;0
-16,42991;14,62741;1;0;0
-16,43114;14,628;1;0;0
-16,42978;14,62727;1;0;0
-16,42999;14,62733;1;0;0
-16,49675;14,62676;0;1;0
-16,49689;14,62683;1;0;0
-16,49659;14,6267;1;0;0
-16,49654;14,62677;1;0;0
-16,49659;14,62681;1;0;0
-16,49662;14,62695;1;0;0
-16,49681;14,62698;1;0;0
-16,49702;14,62698;1;0;0
-16,49716;14,62672;1;0;0
-16,49702;14,62665;1;0;0
-16,49722;14,62658;1;0;0
-16,49758;14,62657;1;0;0
-16,49765;14,62644;0;1;0
-16,49746;14,62642;0;1;0
-16,49775;14,62671;1;0;0
-16,4979;14,62724;0;0;0
-16,4983;14,62727;0;0;0
-16,49749;14,62717;1;0;0
-16,49816;14,62738;1;0;0
-16,4979;14,62749;1;0;0
-16,49771;14,62759;1;0;0
-16,49672;14,62632;0;1;0
-16,49666;14,62643;0;1;0
-16,49671;14,62655;1;0;0
-16,4968;14,62662;1;0;0
-16,49655;14,62671;0;1;0
-16,49657;14,62681;0;1;0
-16,49664;14,62674;1;0;0
-16,49644;14,62642;0;1;0
-16,49573;14,62627;0;1;0
-16,49565;14,6265;1;0;0
-16,49571;14,62666;1;0;0
-16,49577;14,62634;1;0;0
-16,49647;14,62614;0;1;0
-16,49666;14,62607;0;1;0
-16,49671;14,62601;0;1;0
-16,49664;14,62614;1;0;0
-16,49675;14,62607;1;0;0
-16,49675;14,62614;0;1;0
-16,49722;14,62628;1;0;0
-16,49716;14,62626;1;0;0
-16,49705;14,62633;1;0;0
-16,49697;14,62633;1;0;0
-16,49696;14,62641;1;0;0
-16,49672;14,62612;1;0;0
-16,4968;14,62576;1;0;0
-16,49725;14,62564;0;1;0
-16,49731;14,62533;0;0;0
-16,49733;14,62523;0;0;0
-16,49732;14,62507;0;0;1
-16,49648;14,62547;1;0;0
-16,49645;14,62585;0;1;0
-16,49603;14,62595;0;1;0
-16,49582;14,62596;1;0;0
-16,49547;14,6263;1;0;0
-16,49587;14,62609;1;0;0
-16,49573;14,62597;1;0;0
-16,49643;14,62542;1;0;0
-16,49542;14,62641;1;0;0
-16,49739;14,62536;0;0;0
-16,49746;14,62528;0;0;0
-16,49753;14,62561;0;1;0
-16,49736;14,62555;0;1;0
-16,49728;14,62552;0;1;0
-16,48554;14,63107;0;0;0
-16,48586;14,62969;0;0;0
-16,48568;14,6296;0;0;0
-16,48539;14,62942;0;0;0
-16,48508;14,62922;0;0;0
-16,37313;14,6149;1;0;0
-16,37316;14,61475;0;0;0
-16,37332;14,61478;0;1;0
-16,37344;14,61473;1;0;0
-16,37347;14,61463;0;0;0
-16,37348;14,61451;0;0;1
-16,37337;14,61452;0;0;1
-16,37366;14,61506;1;0;0
-16,37331;14,61512;0;0;0
-16,37348;14,6147;0;0;1
-16,37361;14,61441;0;1;0
-16,37379;14,61452;1;0;0
-16,3739;14,61445;0;1;0
-16,37387;14,61467;1;0;0
-16,37377;14,61464;0;0;0
-16,37384;14,61479;0;0;0
-16,37406;14,61413;0;0;0
-16,37395;14,61387;0;0;0
-16,42463;14,61822;1;0;0
-16,42461;14,618;1;0;0
-16,42445;14,61781;1;0;0
-16,42439;14,6177;0;1;0
-16,4242;14,61765;1;0;0
-16,42444;14,61759;1;0;0
-16,42437;14,61735;1;0;0
-16,4247;14,6174;1;0;0
-16,4249;14,61762;0;0;1
-16,42512;14,61813;1;0;0
-16,42471;14,61814;1;0;0
-16,42476;14,61799;1;0;0
-16,42474;14,61794;0;1;0
-16,42503;14,6178;1;0;0
-16,42473;14,61766;1;0;0
-16,42475;14,61785;1;0;0
-16,42463;14,61778;1;0;0
-16,42538;14,61774;1;0;0
-16,42546;14,6178;1;0;0
-16,42551;14,61792;1;0;0
-16,42587;14,61799;1;0;0
-16,42613;14,61784;1;0;0
-16,42626;14,61792;1;0;0
-16,42637;14,6178;1;0;0
-16,42636;14,61772;0;0;1
-16,42645;14,61767;1;0;0
-16,42639;14,61759;1;0;0
-16,42641;14,6175;1;0;0
-16,42626;14,61757;1;0;0
-16,42656;14,61766;0;0;0
-16,42662;14,61769;1;0;0
-16,42664;14,6176;1;0;0
-16,42626;14,6172;1;0;0
-16,42613;14,61726;1;0;0
-16,42637;14,61729;1;0;0
-16,42644;14,61715;1;0;0
-16,42656;14,61706;1;0;0
-16,45638;14,61911;1;0;0
-16,45642;14,61893;1;0;0
-16,45632;14,61886;1;0;0
-16,45601;14,61887;0;0;0
-16,45594;14,61883;0;0;0
-16,45611;14,61914;1;0;0
-16,45584;14,61941;0;0;0
-16,45597;14,61938;0;0;0
-16,45605;14,61952;1;0;0
-16,45613;14,61957;1;0;0
-16,45625;14,61964;1;0;0
-16,45624;14,61969;0;0;0
-16,45629;14,61952;0;0;0
-16,45648;14,61944;0;0;0
-16,45723;14,61891;0;0;0
-16,45729;14,61898;0;0;0
-16,45709;14,6189;0;0;0
-16,45681;14,61981;1;0;0
-16,45697;14,61972;1;0;0
-16,45691;14,6196;1;0;0
-16,45693;14,61922;0;0;0
-16,45691;14,61864;1;0;0
-16,4566;14,61898;1;0;0
-16,45689;14,61906;1;0;0
-16,45581;14,61936;1;0;0
-16,45571;14,61932;1;0;0
-16,45557;14,61931;1;0;0
-16,45567;14,61919;1;0;0
-16,45565;14,61906;1;0;0
-16,45572;14,6191;0;0;0
-16,45571;14,61899;0;0;0
-16,45591;14,61887;0;0;0
-16,45571;14,61877;1;0;0
-16,45564;14,61871;1;0;0
-16,45555;14,61858;1;0;0
-16,45545;14,61866;1;0;0
-16,45542;14,61815;0;0;0
-16,45518;14,61793;1;0;0
-16,45503;14,61782;0;1;0
-16,45609;14,61763;0;0;0
-16,45618;14,61781;1;0;0
-16,45627;14,61792;1;0;0
-16,45632;14,61854;0;1;0
-16,39308;14,61978;0;0;0
-16,39298;14,61958;0;1;0
-16,39272;14,6194;0;0;0
-16,39266;14,61976;1;0;0
-16,39267;14,62008;1;0;0
-16,39254;14,62023;0;0;0
-16,39281;14,62002;0;1;0
-16,45497;14,61778;0;0;0
-16,45496;14,61771;0;1;0
-16,47835;14,61519;1;0;0
-16,47825;14,61507;1;0;0
-16,47792;14,61519;1;0;0
-16,47783;14,6153;1;0;0
-16,47786;14,61492;1;0;0
-16,47811;14,61498;1;0;0
-16,47813;14,61484;0;0;0
-16,47841;14,61481;1;0;0
-16,47862;14,61498;1;0;0
-16,47882;14,61497;0;1;0
-16,47893;14,61498;1;0;0
-16,47887;14,61482;0;0;0
-16,47878;14,61482;0;0;0
-16,47867;14,61486;0;0;0
-16,47823;14,61545;1;0;0
-16,47833;14,61556;1;0;0
-16,47782;14,61571;1;0;0
-16,47774;14,61581;1;0;0
-16,47735;14,61598;1;0;0
-16,47695;14,61586;1;0;0
-16,47676;14,61604;0;0;1
-16,47644;14,61628;0;0;0
-16,47695;14,61684;0;0;0
-16,47695;14,61664;0;0;1
-16,47737;14,61626;0;1;0
-16,47789;14,61616;0;1;0
-16,47874;14,61605;0;0;0
-16,47721;14,6163;1;0;0
-16,4772;14,61618;1;0;0
-16,37389;14,61369;0;0;0
-16,37489;14,61389;0;0;0
-16,37416;14,61367;0;0;0
-16,37407;14,61373;0;0;0
-16,49738;14,61263;1;0;0
-16,49739;14,61253;1;0;0
-16,49739;14,61295;1;0;0
-16,49767;14,61211;0;0;0
-16,49766;14,61191;0;1;0
-16,49749;14,61191;0;1;0
-16,49763;14,61175;0;1;0
-16,49764;14,6116;1;0;0
-16,49708;14,61154;1;0;0
-16,49695;14,61143;0;1;0
-16,49692;14,61158;0;0;0
-16,49693;14,61152;0;0;0
-16,49704;14,61187;1;0;0
-16,49703;14,61208;1;0;0
-16,49685;14,61218;1;0;0
-16,4965;14,61212;0;0;0
